"","airline","Date","CurrDate","n_day","wk_day","ch_price"
"5895","Sun Country Airlines","01/03/2019","2018-11-21",43,"Wednesday",236.4
"5896","Sun Country Airlines","01/03/2019","2018-11-23",41,"Friday",266.39
"5897","Sun Country Airlines","01/03/2019","2018-11-25",39,"Sunday",266.39
"5898","Sun Country Airlines","01/03/2019","2018-11-26",38,"Monday",266.39
"5899","Sun Country Airlines","01/03/2019","2018-11-27",37,"Tuesday",266.39
"5900","Sun Country Airlines","01/03/2019","2018-11-28",36,"Wednesday",266.39
"5901","Sun Country Airlines","01/03/2019","2018-11-29",35,"Thursday",266.39
"5902","Sun Country Airlines","01/03/2019","2018-11-30",34,"Friday",266.39
"5903","Sun Country Airlines","01/03/2019","2018-12-01",33,"Saturday",266.39
"6424","United","01/03/2019","2018-11-18",46,"Sunday",296.21
"6425","United","01/03/2019","2018-11-19",45,"Monday",296.21
"6426","United","01/03/2019","2018-11-20",44,"Tuesday",296.21
"6427","United","01/03/2019","2018-11-21",43,"Wednesday",261.81
"6428","United","01/03/2019","2018-11-22",42,"Thursday",248.2
"6429","United","01/03/2019","2018-11-23",41,"Friday",296.21
"6430","United","01/03/2019","2018-11-24",40,"Saturday",305.6
"6431","United","01/03/2019","2018-11-25",39,"Sunday",252.3
"6432","United","01/03/2019","2018-11-26",38,"Monday",252.3
"6433","United","01/03/2019","2018-11-27",37,"Tuesday",296.21
"6434","United","01/03/2019","2018-11-28",36,"Wednesday",296.21
"6435","United","01/03/2019","2018-11-29",35,"Thursday",296.21
"6436","United","01/03/2019","2018-11-30",34,"Friday",296.21
"6437","United","01/03/2019","2018-12-01",33,"Saturday",296.21
"40","Alaska Airlines","01/04/2019","2018-11-18",47,"Sunday",246.2
"41","Alaska Airlines","01/04/2019","2018-11-19",46,"Monday",246.2
"42","Alaska Airlines","01/04/2019","2018-11-20",45,"Tuesday",246.2
"43","Alaska Airlines","01/04/2019","2018-11-21",44,"Wednesday",246.2
"44","Alaska Airlines","01/04/2019","2018-11-22",43,"Thursday",246.2
"45","Alaska Airlines","01/04/2019","2018-11-23",42,"Friday",246.2
"46","Alaska Airlines","01/04/2019","2018-11-24",41,"Saturday",246.2
"47","Alaska Airlines","01/04/2019","2018-11-25",40,"Sunday",246.2
"48","Alaska Airlines","01/04/2019","2018-11-26",39,"Monday",246.2
"49","Alaska Airlines","01/04/2019","2018-11-27",38,"Tuesday",246.2
"50","Alaska Airlines","01/04/2019","2018-11-28",37,"Wednesday",248.2
"51","Alaska Airlines","01/04/2019","2018-11-29",36,"Thursday",248.8
"52","Alaska Airlines","01/04/2019","2018-11-30",35,"Friday",302.2
"53","Alaska Airlines","01/04/2019","2018-12-01",34,"Saturday",288.8
"1212","American Airlines","01/04/2019","2018-11-18",47,"Sunday",248.9
"1213","American Airlines","01/04/2019","2018-11-19",46,"Monday",248.9
"1214","American Airlines","01/04/2019","2018-11-20",45,"Tuesday",241.2
"1215","American Airlines","01/04/2019","2018-11-21",44,"Wednesday",236.2
"1216","American Airlines","01/04/2019","2018-11-22",43,"Thursday",236.2
"1217","American Airlines","01/04/2019","2018-11-23",42,"Friday",236.2
"1218","American Airlines","01/04/2019","2018-11-24",41,"Saturday",236.2
"1219","American Airlines","01/04/2019","2018-11-25",40,"Sunday",288.8
"1220","American Airlines","01/04/2019","2018-11-26",39,"Monday",288.8
"1221","American Airlines","01/04/2019","2018-11-27",38,"Tuesday",288.8
"1222","American Airlines","01/04/2019","2018-11-28",37,"Wednesday",290.2
"1223","American Airlines","01/04/2019","2018-11-29",36,"Thursday",290.2
"1224","American Airlines","01/04/2019","2018-11-30",35,"Friday",290.2
"1225","American Airlines","01/04/2019","2018-12-01",34,"Saturday",244.8
"2539","Delta","01/04/2019","2018-11-18",47,"Sunday",241.2
"2540","Delta","01/04/2019","2018-11-19",46,"Monday",241.2
"2541","Delta","01/04/2019","2018-11-20",45,"Tuesday",246.2
"2542","Delta","01/04/2019","2018-11-21",44,"Wednesday",246.2
"2543","Delta","01/04/2019","2018-11-22",43,"Thursday",246.2
"2544","Delta","01/04/2019","2018-11-23",42,"Friday",246.2
"2545","Delta","01/04/2019","2018-11-24",41,"Saturday",246.2
"2546","Delta","01/04/2019","2018-11-25",40,"Sunday",246.2
"2547","Delta","01/04/2019","2018-11-26",39,"Monday",246.2
"2548","Delta","01/04/2019","2018-11-27",38,"Tuesday",246.2
"2549","Delta","01/04/2019","2018-11-28",37,"Wednesday",254.8
"2550","Delta","01/04/2019","2018-11-29",36,"Thursday",304.81
"2551","Delta","01/04/2019","2018-11-30",35,"Friday",296.21
"2552","Delta","01/04/2019","2018-12-01",34,"Saturday",261.4
"3834","JetBlue Airways","01/04/2019","2018-11-18",47,"Sunday",281.2
"3835","JetBlue Airways","01/04/2019","2018-11-19",46,"Monday",281.2
"3836","JetBlue Airways","01/04/2019","2018-11-20",45,"Tuesday",246.2
"3837","JetBlue Airways","01/04/2019","2018-11-21",44,"Wednesday",210.21
"3838","JetBlue Airways","01/04/2019","2018-11-22",43,"Thursday",210.21
"3839","JetBlue Airways","01/04/2019","2018-11-23",42,"Friday",246.2
"3840","JetBlue Airways","01/04/2019","2018-11-24",41,"Saturday",281.2
"3841","JetBlue Airways","01/04/2019","2018-11-25",40,"Sunday",281.2
"3842","JetBlue Airways","01/04/2019","2018-11-26",39,"Monday",281.2
"3843","JetBlue Airways","01/04/2019","2018-11-27",38,"Tuesday",281.2
"3844","JetBlue Airways","01/04/2019","2018-11-28",37,"Wednesday",281.2
"3845","JetBlue Airways","01/04/2019","2018-11-29",36,"Thursday",281.2
"3846","JetBlue Airways","01/04/2019","2018-11-30",35,"Friday",281.2
"3847","JetBlue Airways","01/04/2019","2018-12-01",34,"Saturday",246.2
"5114","Spirit Airlines","01/04/2019","2018-11-18",47,"Sunday",236.87
"5115","Spirit Airlines","01/04/2019","2018-11-19",46,"Monday",236.87
"5116","Spirit Airlines","01/04/2019","2018-11-20",45,"Tuesday",205.88
"5117","Spirit Airlines","01/04/2019","2018-11-21",44,"Wednesday",205.88
"5118","Spirit Airlines","01/04/2019","2018-11-23",42,"Friday",205.88
"5119","Spirit Airlines","01/04/2019","2018-11-24",41,"Saturday",205.88
"5120","Spirit Airlines","01/04/2019","2018-11-25",40,"Sunday",205.88
"5121","Spirit Airlines","01/04/2019","2018-11-26",39,"Monday",205.88
"5122","Spirit Airlines","01/04/2019","2018-11-27",38,"Tuesday",205.88
"5123","Spirit Airlines","01/04/2019","2018-11-28",37,"Wednesday",205.88
"5124","Spirit Airlines","01/04/2019","2018-11-29",36,"Thursday",205.88
"5125","Spirit Airlines","01/04/2019","2018-12-01",34,"Saturday",236.87
"5904","Sun Country Airlines","01/04/2019","2018-11-18",47,"Sunday",203.4
"5905","Sun Country Airlines","01/04/2019","2018-11-19",46,"Monday",203.4
"5906","Sun Country Airlines","01/04/2019","2018-11-20",45,"Tuesday",203.4
"5907","Sun Country Airlines","01/04/2019","2018-11-21",44,"Wednesday",213.4
"5908","Sun Country Airlines","01/04/2019","2018-11-23",42,"Friday",213.4
"5909","Sun Country Airlines","01/04/2019","2018-11-24",41,"Saturday",230.8
"5910","Sun Country Airlines","01/04/2019","2018-11-25",40,"Sunday",230.8
"5911","Sun Country Airlines","01/04/2019","2018-11-26",39,"Monday",230.8
"5912","Sun Country Airlines","01/04/2019","2018-11-27",38,"Tuesday",230.8
"5913","Sun Country Airlines","01/04/2019","2018-11-28",37,"Wednesday",230.8
"5914","Sun Country Airlines","01/04/2019","2018-11-29",36,"Thursday",230.8
"5915","Sun Country Airlines","01/04/2019","2018-12-01",34,"Saturday",230.8
"6438","United","01/04/2019","2018-11-18",47,"Sunday",229.8
"6439","United","01/04/2019","2018-11-19",46,"Monday",229.8
"6440","United","01/04/2019","2018-11-20",45,"Tuesday",226.2
"6441","United","01/04/2019","2018-11-21",44,"Wednesday",221.2
"6442","United","01/04/2019","2018-11-22",43,"Thursday",221.2
"6443","United","01/04/2019","2018-11-23",42,"Friday",229.8
"6444","United","01/04/2019","2018-11-24",41,"Saturday",229.8
"6445","United","01/04/2019","2018-11-25",40,"Sunday",248.2
"6446","United","01/04/2019","2018-11-26",39,"Monday",248.2
"6447","United","01/04/2019","2018-11-27",38,"Tuesday",256.8
"6448","United","01/04/2019","2018-11-28",37,"Wednesday",248.2
"6449","United","01/04/2019","2018-11-29",36,"Thursday",256.8
"6450","United","01/04/2019","2018-11-30",35,"Friday",248.2
"6451","United","01/04/2019","2018-12-01",34,"Saturday",229.8
"54","Alaska Airlines","01/05/2019","2018-11-18",48,"Sunday",426.4
"55","Alaska Airlines","01/05/2019","2018-11-19",47,"Monday",213.2
"56","Alaska Airlines","01/05/2019","2018-11-20",46,"Tuesday",213.2
"57","Alaska Airlines","01/05/2019","2018-11-21",45,"Wednesday",128.2
"58","Alaska Airlines","01/05/2019","2018-11-22",44,"Thursday",369.3
"59","Alaska Airlines","01/05/2019","2018-11-23",43,"Friday",246.2
"60","Alaska Airlines","01/05/2019","2018-11-24",42,"Saturday",246.2
"61","Alaska Airlines","01/05/2019","2018-11-25",41,"Sunday",246.2
"62","Alaska Airlines","01/05/2019","2018-11-26",40,"Monday",246.2
"63","Alaska Airlines","01/05/2019","2018-11-27",39,"Tuesday",356.2
"64","Alaska Airlines","01/05/2019","2018-11-28",38,"Wednesday",356.2
"65","Alaska Airlines","01/05/2019","2018-11-29",37,"Thursday",288.8
"66","Alaska Airlines","01/05/2019","2018-11-30",36,"Friday",288.8
